CODE,Title,Year,Primary Objective,Secondary Objectives,Beneficiaries,Creative Approach,Financial Resources,Business Model,Human Resources,Entity Types,Competences,ICH Domain,ICH Elements,Data Source,Data Type,Capturing Technologies,Representation Technologies,Digitization Output,Dissemination Technologies,Fruition Output
1,Multi - Multimedia Museum,2023,"[""Transmission"",""Celebration"",""Preservation"",""Enhancement""]","[""Global outreach"",""Edutainment"",""Inclusivity""]","[""Enthusiasts"",""ICH Curious"",""General public"",""Academic / Educational institutions""]","[""Virtualization"",""Storytelling""]","[""Publicly funded""]","[""Free Access Model""]","[""Lead developer"",""IT Consultancy"",""Front-End Developer"",""Scientific curators"",""Backend developer"",""Art director"",""Lead designer"",""UX/UI Designer""]","[""Multidisciplinary Design Studio"",""Educational Institution / Research University""]","[""(Digital) Content design"",""Administrative coordination"",""Human translation"",""Operational project management coordination"",""Storytelling"",""Creative project leadership"",""Graphic design"",""Photo and media handling"",""Photo research"",""Rights & permissions Management"",""UX / UI Design""]","[""Oral traditions and expressions""]","[""Dialects"",""Spoken Languages"",""Linguistics"",""Languages"",""Oral history""]","[""Audio"",""Pictures"",""Archival documents"",""Written text"",""Historical books""]","[""Audio"",""Pictures"",""Text""]","[""Audio recording"",""2D image acquisition technologies""]","[""Storytelling tools"",""Digital database""]","[""Structured metadata"",""Digitized collection of texts, images, and audio""]","[""Web platform""]","[""Virtual museum""]"
2,Hundred Days: Winemaking Simulator,2021,"[""Preservation"",""Accessibility"",""Promotion""]","[""Edutainment"",""Global outreach"",""Economic sustainability"",""Cultural representation""]","[""Cultural practitioners"",""Gamers"",""Local communities"",""General public"",""Enthusiasts"",""ICH Curious""]","[""Gamification"",""Virtualization"",""Storytelling"",""Simulation""]","[""Self-Funded""]","[""Direct to Consumers (DtC)"",""Pay-to-Play (P2P)""]","[""Producer"",""3D Graphic Designer"",""Narrative Designer""]","[""Local Winemakers"",""Co-founder & WineMaker"",""Digital Artists"",""Music and Sound Design Firm"",""Game Development Firm""]","[""Art direction"",""Audio / Sound design"",""Business development"",""Concept art"",""Game development"",""Lead game design"",""Lead game development"",""Storytelling"",""UX / UI Design""]","[""Knowledge and practices concerning nature and the universe"",""Traditional craftsmanship""]","[""Winemaking"",""Food production"",""Alcoholic beverages""]","[""Tacit knowledge"",""Local winemakers' expertise"",""Enological chemistry documentation"",""Books on winemaking""]","[""Text"",""Formulas"",""Statistics""]","[""NA""]","[""Game engine"",""Simulation algorithms""]","[""Winemaking management simulator"",""Structured knowledge base"",""Statistical formulas"",""Dataset of winemaking processes""]","[""Game engine"",""Voice, video, and text communication app""]","[""Videogame""]"
3,ADLaM,2023,"[""Accessibility"",""Preservation"",""Revitalization"",""Lost/Endangered/Undocumented Recovery"",""Representativeness in digital world"",""Community empowerment""]","[""Educational outreach"",""Inclusivity"",""Cultural identity reinforcement"",""Global outreach""]","[""Marginalized communities"",""Local communities"",""Younger generations"",""ICH Specialists"",""Schools""]","[""Participation"",""Glocalization""]","[""Corporate-Sponsored""]","[""Free Access Model""]","[""Typeface Designers"",""Cultural practitioner"",""Art Director"",""ICH Researchers"",""Textile Expert"",""Chief Creative Director"",""Global Executive Creative Director"",""Creative Director"",""Principal Program Manager"",""Designer"",""Art Director"",""Design Director"",""Copywriter"",""Principal Product Manager"",""Head of Design"",""Accountant"",""Director of Operations"",""Group Account Director"",""Chief Production Officer"",""Executive Producer"",""Strategy Director""]","[""Graphic Culture Specialists"",""Local Cultural Practitioners"",""Local Cultural Practitioners Communit"",""Typeface Designers"",""Advertising agency"",""Multinational Technology Firm""]","[""Cultural ethnographic research"",""Cultural preservation"",""Graphic/visual design"",""Participatory design"",""Typeface design & typography"",""Art direction"",""Copywriting and script editing"",""Creative coordination"",""Creative ideation and concept development"",""Cross-platform design adaptation"",""Cultural communication strategy"",""Digital curation"",""Digital product management"",""Resource planning"",""Storytelling"",""Unicode integration""]","[""Oral traditions and expressions""]","[""Spoken Languages"",""Languages"",""Language preservation"",""Local languages"",""Indigenous languages"",""Signs""]","[""Oral knowledge"",""Adlam written texts"",""Digital script documentation""]","[""Pictures"",""Text"",""Digital font""]","[""2D image acquisition technologies""]","[""Typeface modeling software"",""Vector graphic software"",""Text editing software""]","[""Vectorized text assets"",""Digital font of the Adlam script""]","[""Cloud Technologies""]","[""Participatory initiative"",""Digital assets"",""Digital campaign"",""Dedicated heritage place""]"
4,A soup to remember,2024,"[""Promotion"",""Preservation"",""Community empowerment"",""Visibility and reputation""]","[""Economic sustainability"",""Edutainment"",""Cultural dissemination"",""Community empowerment""]","[""Schools"",""Marginalized communities"",""Local communities"",""ICH Specialists"",""Younger generations""]","[""Participation"",""Materialization""]","[""Corporate-Sponsored""]","[""Free Access Model""]","[""General Director"",""Musicians"",""Brand Manager"",""Creative Director"",""Designer"",""Chief Creative Director"",""Head of Creative Excellence"",""Accountant"",""Creative Manager"",""Copywriter"",""Chief Creative Director"",""ICH Practitioners"",""Head of Video Production"",""Head of Pre-Press"",""Craft Partner"",""Creative Partner"",""Senior Social Media Manager"",""Video Animator"",""Head of Social Media"",""Art Director"",""Global Producer"",""PR"",""Illustrator"",""Photographer"",""Press and Production"",""Director of Photography""]","[""Policy makers"",""Local pasta producer"",""Cultural and artistic local association"",""Advertising agency""]","[""Animation"",""Art direction"",""Graphic design"",""Photography"",""Brand management"",""Cinematography"",""Community and stakeholder engagement"",""Copywriting and script editing"",""Creative ideation and concept development"",""Cross-functional team leadership"",""Cultural knowledge transfer"",""Digital illustration and visual asset creation"",""Executive decision-making"",""Graphic"",""ICH safeguarding"",""Music performance (traditional songs)"",""PR and media relations"",""Project management"",""Social media strategy"",""Storytelling"",""Video production""]","[""Oral traditions and expressions"",""Performing arts""]","[""Dance"",""Oral tradition"",""Vocal music"",""Instrumental music"",""Costumes"",""Wedding"",""Religious""]","[""Folk song lyrics"",""ICH live performance""]","[""Text"",""Audio""]","[""Audio recording"",""Text editing software"",""Video recording""]","[""Alphabet-shaped pasta manufacturing technologies"",""Vector graphic software"",""Image editing software""]","[""Illustrated books"",""Packaged with song lyrics alphabet-shaped pasta""]","[""Social Media""]","[""Digital campaign"",""Participatory initiative""]"
5,Pub Museums,2024,"[""Recognition"",""Economic sustainability"",""Preservation""]","[""Policy advocacy"",""Cultural dissemination"",""Community engagement""]","[""Local communities"",""Citizens"",""Tourists"",""Cultural practitioners"",""Tradition bearers""]","[""Digital twinning"",""Institutionalization""]","[""Corporate-Sponsored""]","[""Free Access Model""]","[""Global Digital Manager"",""Global Communication Manager"",""Brand Manager"",""Copywriter"",""Creative Director"",""Global CCO"",""Global Client Service Director"",""Global Digital Director"",""Senior Brand Manager"",""Art Director"",""Marketing Manager"",""Group Account Director"",""Director Global Brand"",""Global CEO"",""Marketing Director"",""Global Communication Manager"",""Accountant"",""Global Head of PR & Communications"",""Global Head of Creative Technology"",""Head of Digital Production"",""Digital Producer Supervisor"",""Digital Designer"",""Creative Director"",""Senior Agency Producer"",""Senior Art Director"",""Technical Lead"",""Studio Lead"",""Production Assistant"",""Print Production"",""Business Director"",""Founder and Head of Creative Innovation"",""PR""]","[""Advertising agency"",""Brewing company""]","[""Advocacy management"",""AI/AR/VR development and integration for immersive experience"",""AR content creation"",""Art direction"",""Business strategy"",""Client relationship management"",""Communication strategy"",""Content strategy"",""Copywriting and script editing"",""Creative ideation and concept development"",""Global and local marketing"",""Global brand leadership"",""Interactive media development"",""Logistics and distribution management"",""Creative coordination"",""PR and media relations"",""Technical leadership"",""Visual storytelling""]","[""Social practices, rituals and festive events"",""Institutional and community values""]","[""Everyday life"",""Food customs"",""Hospitality"",""Fermented beverages"",""Social gathering"",""Friendship"",""Brewing""]","[""Irish pub floor plan"",""Irish pub stories"",""Historical objects"",""Oral knowledge""]","[""Audio"",""Object/artefact"",""Oral knowledge""]","[""audio recording"",""GPS technologies"",""3D scanning""]","[""3D modeling software"",""Augmented Reality (AR)""]","[""Geographic metadata"",""Digital 3D models of historical objects"",""Audio narrations""]","[""Mobile App"",""AR technologies""]","[""Virtual museum"",""Dedicated heritage place""]"
6,THE GREAT PALERMO,2015,"[""Celebration"",""Preservation""]","[""Community engagement"",""Cultural representation"",""Edutainment""]","[""Local communities"",""Tourists"",""General public"",""Gamers""]","[""Storytelling"",""Gamification""]","[""Hybrid Funding Model""]","[""Free Access Model""]","[""Copywriter"",""Project Manager"",""Visual Designer"",""App Developer"",""Game developer"",""Voiceover Artist"",""Sound Designer"",""Producer""]","[""Culture-based NPO"",""Game development agency""]","[""Game engine programming"",""Resource planning"",""Copywriting and script editing"",""Creative coordination"",""Cultural mediation"",""Digital illustration and visual asset creation"",""Mobile app design and development"",""Project management"",""Visual storytelling""]","[""Social practices, rituals and festive events""]","[""Oral history"",""Storytelling"",""History"",""Folklore"",""Food preparation"",""Urban spaces"",""Monument history"",""Food customs""]","[""Historical narratives"",""Urban folklore"",""Sicilian oral traditions""]","[""Object/artefact"",""Audio"",""Text""]","[""NA""]","[""Visual-novel game engine"",""Vector graphic software""]","[""Digital storytelling"",""Illustrated content""]","[""Visual-novel game engine"",""Web platform""]","[""ICH-inspired artefact"",""Videogame""]"
7,Cultural Avatars,2023,"[""Empowerment"",""Cultural identity representation""]","[""Cultural preservation"",""Youth empowerment"",""Open-source contribution"",""Community engagement""]","[""Local communities"",""Younger generations"",""Gamers"",""Marginalized communities""]","[""Digital twinning"",""Participation"",""Glocalization""]","[""Corporate-Sponsored""]","[""Free Access Model""]","[""Fashion Designer"",""Client Manager"",""Advertising Manager"",""Sales Manager"",""Motion Designer"",""Coordinator of Joint Campaigns"",""Art Director"",""Communication Officer"",""Assistant Art Director"",""3D Graphic Designer"",""Copywriter"",""Skin Production"",""Consulting Director"",""Chief Creative Director""]","[""Advertising agency"",""Telecommunications and digital service provider"",""Game and skin development agency"",""Fashion designers""]","[""Advertising management"",""Campaign coordination"",""Client relationship management"",""Communication strategy"",""3D Design"",""Copywriting and script editing"",""3D Modeling"",""Creative coordination"",""Creative project leadership"",""Cross-cultural storytelling"",""Cross-functional team leadership"",""Digital skin design for gaming platforms"",""Digital skin design for gaming platforms"",""Executive decision-making"",""Fashion design"",""Motion design (2D/3D Animation & Interaction)"",""Motion graphics (2D Animation & Visual Storytelling)"",""Sales strategy"",""Sponsorship management"",""Visual identity and branding""]","[""Traditional craftsmanship""]","[""Technical skills"",""Craft workers"",""Apprenticeship"",""Weaving"",""Cultural identity"",""Jewelry"",""Pattern"",""Costumes""]","[""ICH live performance"",""Traditional and contemporary African costumes"",""Technical documentation"",""Fashion designer knowledge""]","[""Pictures"",""Object/artefact"",""Template and Measures""]","[""Annotation system"",""2D image acquisition technologies""]","[""Game engine"",""3D modeling software""]","[""3D gaming skins""]","[""Game engine"",""Cloud Technologies""]","[""ICH-inspired artefact"",""Digital campaign"",""Participatory initiative"",""Dedicated physical events"",""Digital assets""]"
8,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei",2023,"[""Remix and reinterpretation"",""Valorization"",""Visibility and reputation""]","[""Cultural promotion"",""Contemporary design integration""]","[""Cultural institutions"",""General public"",""Manufacturers""]","[""Remix"",""Archetyping""]","[""Self-Funded""]","[""B2C"",""B2B""]","[""Industrial Designer"",""3D printing"",""Interior Designer"",""Architect"",""3D modelling"",""Ceramicist""]","[""Manufacturing company"",""Local industrial designer"",""Local Architecture & Interior Design Studio"",""Archeological museum""]","[""Ceramic techniques"",""Co-design facilitation"",""Community and stakeholder engagement"",""3D Printing"",""Digital fabrication integration into ceramic production"",""Exhibition design"",""Product design""]","[""Traditional craftsmanship""]","[""Technical skills"",""Ceramic arts"",""Clay"",""Handicrafts"",""Apprenticeship"",""Geometry"",""Craft workers""]","[""Cultural symbols"",""Historical documentation"",""Archaeological archive"",""Archaeological artifacts""]","[""Metadata"",""Object/artefact""]","[""2D image acquisition technologies""]","[""3D printing technologies"",""3D modeling software""]","[""3D printed prototypes and ceramic molds""]","[""Ceramic casting""]","[""ICH-inspired artefact""]"
9,No Food Tomorrow - Eucarestia,2023,"[""Preservation""]","[""Community empowerment"",""Celebration"",""Economic sustainability""]","[""Tradition bearers"",""Researchers and Scholars"",""Academic / Educational institutions"",""Enthusiasts"",""Policy makers"",""ICH Curious""]","[""Crowdsourcing"",""Translation"",""Artification"",""Magnification""]","[""NA""]","[""Crowdfunding"",""Direct to Consumers (DtC)""]","[""Scientific curators"",""Conceptual Artist"",""Producer and Creative Director"",""Visual Designer"",""Photographer"",""Set Designer"",""Music Composer"",""Digital Designer""]","[""Research center"",""Digital art studio"",""Artistic collective"",""University research center""]","[""Artistic photographic documentation"",""Creative ideation and concept development"",""Creative project leadership"",""Exhibition design"",""Immersive sound design"",""NFT asset management"",""Visual identity and branding""]","[""Knowledge and practices concerning nature and the universe""]","[""Cereals"",""Harvesting"",""Plant resources"",""Social capital""]","[""Mediterranean Diet samples (Olive oil, Sea Water, Wheat)""]","[""Object/artefact""]","[""2D image acquisition technologies"",""Optical microscopy""]","[""Annotation system"",""Photo-editing software""]","[""High-resolution macro images of diet samples""]","[""Blockchain and NFT technologies""]","[""Dedicated physical events"",""ICH-inspired artefact"",""Digital assets""]"
10,Virtual Dance Museum,2016-2025,"[""Open resource creation"",""Preservation"",""Accessibility""]","[""Interactive learning"",""Cultural dissemination"",""Edutainment""]","[""Students"",""ICH Specialists"",""Gamers"",""Tradition bearers"",""ICH Specialists"",""Researchers and Scholars""]","[""Digital twinning"",""Simulation""]","[""Publicly Funded""]","[""Free Access Model""]","[""VR/AR Developer"",""Audio Engineer / Sound Technician"",""Costume Designer"",""Digital Costume Designer"",""Software Developers"",""3D Animator"",""Cultural Heritage Specialist"",""3D Animator"",""Dance Documentation Specialist"",""Video Director"",""Digital Archivist"",""Data Processing Specialist / Post-production Editor"",""Database Manager / Information Scientist"",""Motion Capture Technician / Operator"",""Folk Dance Expert / Ethnochoreologist"",""Historian"",""3D Integration Specialist / WebGL Developer"",""Metadata Specialist"",""Movement Analyst / Kinesiologist"",""Project Manager"",""Researcher"",""UX/UI Designer"",""Web platform developers""]","[""University Joint Venture of three Public Universities"",""Greek Academy of Customs and traditional dances"",""Research Foundation"",""Cultural Non-profit Organization of Traditional arts events"",""Dance Academy"",""Educational Institution / Research University""]","[""AI/AR/VR development and integration for immersive experience"",""Audio / Sound recording and synchronization"",""Costume knowledge"",""Costume knowledge"",""Cross-platform compatibility"",""3D Asset optimization"",""Cultural heritage expertise"",""3D Modeling"",""Dance documentation methodology"",""Dance performance recording"",""Data archiving and retrieval systems"",""Data post-processing skills"",""Database & information management"",""Motion capture and movement data acquisition"",""Folk dance knowledge"",""Historical research"",""Integration of 3D viewers"",""Metadata structuring and organization"",""Motion analysis and kinematic evaluation"",""Project Management"",""Research and data analysis"",""UX / UI Design"",""Web platform development""]","[""Social practices, rituals and festive events"",""Performing arts""]","[""Handicraft"",""Costumes"",""Instrumental music"",""Choreography"",""Apprenticeship"",""Dance""]","[""Traditional costumes"",""Traditional music"",""Folk dance performances""]","[""Video"",""Audio"",""Motion data""]","[""Video recording"",""HD cameras"",""3D scanning"",""Motion capture and tracking technologies""]","[""3D Motion Analysis software"",""Sensor Fusion""]","[""Digitized video and audio recordings"",""Motion data archives""]","[""Web platform""]","[""Virtual museum"",""Digital assets"",""Digital archive""]"
